"ID.number","Date","Site","Plot","AM.PM","Quadrant","Field.ID","Field.sex","Lab.ID","Lab.sex","Caught.on","Previously.marked.","Collected.","Notes","collector","unique_id","year"
"",2019-06-28,"Waterfall",2,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",6,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",6,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",6,"AM",2,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS3",2019-06-28,"Waterfall",6,"AM",1,"Sphecodes sp.","","Sphecodes sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_50",2019
"",2019-06-28,"Waterfall",6,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",3,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",3,"AM",3,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",3,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",3,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS4",2019-06-28,"Waterfall",3,"AM",4,"Halictus rubicundus","F","Halictus virgatellus","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_51",2019
"MS5",2019-06-28,"Waterfall",4,"AM",3,"Osmia sp.","F","Osmia sp.","F","Mertensia fusiformis","N","Y","","M. Stemkovski","2019_52",2019
"MS6",2019-06-28,"Waterfall",1,"PM",3,"Nomada sp.","","Nomada sp.","F","ground","N","Y","","M. Stemkovski","2019_53",2019
"",2019-06-28,"Waterfall",3,"PM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS1",2019-07-01,"401 Trail",3,"AM",4,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_54",2019
"MS2",2019-07-01,"401 Trail",5,"AM",3,"Lasioglossum sp.","F","Lasioglossum sp.","F","Pseudocympoterus montanus","N","Y","","M. Stemkovski","2019_55",2019
"",2019-07-01,"401 Trail",5,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","white","N","","","",2019
"",2019-07-01,"401 Trail",6,"AM",3,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-07-01,"401 Trail",6,"AM",1,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-07-01,"401 Trail",1,"PM",2,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS3",2019-07-01,"401 Trail",2,"PM",3,"Halictus rubicundus","F","Halictus rubicundus","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_56",2019
"MS4",2019-07-01,"401 Trail",2,"PM",1,"Halictus rubicundus","F","Halictus rubicundus","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_57",2019
"",2019-07-01,"401 Trail",2,"PM",2,"Halictus rubicundus","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-07-01,"401 Trail",2,"PM",1,"Halictus rubicundus","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-07-01,"401 Trail",2,"PM",2,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS5",2019-07-01,"401 Trail",2,"PM",4,"Halictus sp.","F","Halictus virgatellus","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_58",2019
"",2019-07-01,"401 Trail",2,"PM",4,"Halictus rubicundus","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-07-01,"401 Trail",3,"PM",2,"Nomada sp.","F","","","ground","N","N","","","",2019
"",2019-07-01,"401 Trail",3,"PM",2,"Lasioglossum sp.","F","","","Pseudocympoterus m.","N","N","","","",2019
"",2019-07-01,"401 Trail",3,"PM",1,"Lasioglossum sp.","F","","","Pseudocympoterus m.","N","N","","","",2019
"",2019-07-01,"401 Trail",3,"PM",4,"Osmia sp.","F","Osmia sp.","F","Viola praemorsa","N","Y","","","2019_59",2019
"AF1",2019-07-02,"Bean",2,"AM",3,"Nomada sp.","","Nomada sp.","F","ground","N","Y","","A. Fife","2019_60",2019
"",2019-07-02,"Bean",5,"AM",1,"Sphecodes sp.","F","","","ground","N","N","","","",2019
"AF2",2019-07-02,"Waterfall",1,"PM",3,"Lasioglossum sp.","","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","A. Fife","2019_61",2019
"AF3",2019-07-02,"Waterfall",2,"PM",1,"Halictus sp.","","Halictus virgatellus","F","Fragaria virginiana","N","Y","","A. Fife","2019_62",2019
"AF4",2019-07-02,"Waterfall",3,"PM",1,"Halictus sp.","","Halictus virgatellus","F","Taraxacum officinale","N","Y","","A. Fife","2019_63",2019
"",2019-07-02,"Waterfall",3,"PM",2,"Halictus sp.","","","","Taraxacum officinale","N","N","","","",2019
"",2019-07-02,"Waterfall",6,"PM",1,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS1",2019-07-02,"Waterfall",6,"PM",3,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_64",2019
